DRIVER RECORDS REPORTS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Carrier Name: FNE TRANSPORT LLC,,,,,,,,,,,,,,,,
DOT Number: 4345433,,,,,,,,,,,,,,,,
Start Date: 8/15/2025 - End Date: 8/15/2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ELD,App Version,Timestamp (EDT),CoDriver,Tractor Number,Engine Hours,Odometer (Miles),New Status,Location,Latitude,Longitude,Event Status,Event Origin,Event Type,Event Code,Verified Timestamp (EDT),D/M Code
7c85348c09a2f640,525032,08/16/2025 03:07,,929,11603,466680,DIAG,,,,1,1,7,3,,2
7c85348c09a2f640,525032,08/16/2025 03:00,,929,,,DIAG,,,,1,1,7,4,,2
7c85348c09a2f640,525032,08/16/2025 02:58,,929,11603,466680,DIAG,,,,1,1,7,3,,2
7c85348c09a2f640,525032,08/16/2025 02:52,,929,11603,466680,DIAG,,,,1,1,7,4,,2
7c85348c09a2f640,525032,08/16/2025 02:51,,929,11603,466680,DIAG,,,,1,1,7,3,,2
7c85348c09a2f640,525032,08/16/2025 02:48,,929,11603,466680,IGN_OFF,0.44 mi SSE Four Corners TX,29.66,-95.66,1,1,6,3,,
7c85348c09a2f640,525032,08/16/2025 02:45,,929,11603,466680,OFF,0.44 mi SSE Four Corners TX,29.66,-95.66,1,2,1,1,08/19/2025 03:00,
7c85348c09a2f640,525032,08/16/2025 02:32,,929,11603,466676,DIAG,,,,1,1,7,4,,3
7c85348c09a2f640,525032,08/16/2025 02:31,,929,11603,466676,D,2.3 mi W Four Corners TX,29.66,-95.70,1,1,1,3,08/19/2025 03:00,
7c85348c09a2f640,525032,08/16/2025 02:31,,929,11603,466676,DIAG,,,,1,1,7,3,,3
7c85348c09a2f640,525032,08/16/2025 02:30,,929,11603,466676,IGN_ON,2.3 mi W Four Corners TX,29.67,-95.70,1,1,6,1,,
7c85348c09a2f640,525032,08/16/2025 02:28,,929,,,DIAG,,,,1,1,7,4,,2
7c85348c09a2f640,525032,08/16/2025 01:33,,929,,,DIAG,,,,1,1,7,1,,E
7c85348c09a2f640,525032,08/16/2025 01:07,,929,11603,466676,DIAG,,,,1,1,7,3,,2
7c85348c09a2f640,525032,08/16/2025 01:06,,929,11603,466676,DIAG,,,,1,1,7,1,,P
7c85348c09a2f640,525032,08/16/2025 01:06,,929,11603,466676,IGN_OFF,2.58 mi WSW Four Corners TX,29.67,-95.70,1,1,6,3,,
7c85348c09a2f640,525032,08/16/2025 00:40,,929,,,DIAG,,,,1,1,7,4,,2
7c85348c09a2f640,525032,08/16/2025 00:37,,929,11602,466676,DIAG,,,,1,1,7,3,,2
7c85348c09a2f640,525032,08/16/2025 00:14,,929,11602,466676,DIAG,,,,1,1,7,2,,E
7c85348c09a2f640,525032,08/16/2025 00:14,,929,11602,466676,OFF,2.58 mi WSW Four Corners TX,29.67,-95.70,1,2,1,1,08/19/2025 03:00,
7c85348c09a2f640,525032,08/15/2025 23:30,,929,11601,466640,MOV,,E,E,1,1,2,1,,
7c85348c09a2f640,525032,08/15/2025 22:48,,929,11601,466602,DIAG,,,,1,1,7,4,,1
7c85348c09a2f640,525032,08/15/2025 22:46,,929,11601,466600,DIAG,,,,1,1,7,3,,1
7c85348c09a2f640,525032,08/15/2025 22:46,,929,11601,466600,DIAG,,,,1,1,7,4,,3
7c85348c09a2f640,525032,08/15/2025 22:30,,929,11600,466585,D,3.6 mi SSW Shepherd TX,30.45,-95.03,1,1,1,3,08/19/2025 03:00,
7c85348c09a2f640,525032,08/15/2025 22:30,,929,11600,466585,DIAG,,,,1,1,7,3,,3
7c85348c09a2f640,525032,08/15/2025 22:30,,929,11600,466585,OFF,3.6 mi SSW Shepherd TX,30.45,-95.03,1,2,1,1,08/19/2025 03:00,
7c85348c09a2f640,525032,08/15/2025 22:29,,929,11600,466585,IGN_ON,3.6 mi SSW Shepherd TX,30.45,-95.03,1,1,6,1,,
7c85348c09a2f640,525032,08/15/2025 22:22,,929,11600,466585,ON,3.6 mi SSW Shepherd TX,30.45,-95.03,1,2,1,4,08/19/2025 03:00,
7c85348c09a2f640,525032,08/15/2025 22:20,,929,11600,466585,IGN_OFF,3.6 mi SSW Shepherd TX,30.45,-95.03,1,1,6,3,,
7c85348c09a2f640,525032,08/15/2025 22:20,,929,11600,466585,OFF,3.6 mi SSW Shepherd TX,30.45,-95.03,1,2,1,1,08/19/2025 03:00,
7c85348c09a2f640,525032,08/15/2025 22:14,,929,11600,466581,DIAG,,,,1,1,7,1,,L
7c85348c09a2f640,525032,08/15/2025 22:07,,929,11600,466573,MOV,0.3 mi SE Goodrich TX,30.61,-94.94,1,1,2,1,,
7c85348c09a2f640,525032,08/15/2025 21:07,,929,11599,466519,D,0.8 mi ENE Lufkin TX,31.33,-94.72,1,1,1,3,08/19/2025 03:00,
7c85348c09a2f640,525032,08/15/2025 21:07,,929,11599,466519,DIAG,,,,1,1,7,4,,1
7c85348c09a2f640,525032,08/15/2025 21:05,,929,11599,466519,DIAG,,,,1,1,7,3,,1
7c85348c09a2f640,525032,08/15/2025 21:03,,929,,,DIAG,,,,1,1,7,4,,2
7c85348c09a2f640,525032,08/15/2025 20:56,,929,11599,466519,DIAG,,,,1,1,7,3,,2
7c85348c09a2f640,525032,08/15/2025 20:23,,929,,,DIAG,,,,1,1,7,4,,2
7c85348c09a2f640,525032,08/15/2025 20:15,,929,11599,466519,DIAG,,,,1,1,7,3,,2
7c85348c09a2f640,525032,08/15/2025 20:13,,929,11599,466519,IGN_OFF,0.8 mi ENE Lufkin TX,31.33,-94.72,1,1,6,3,,
7c85348c09a2f640,525032,08/15/2025 19:34,,929,,,DIAG,,,,1,1,7,4,,2
7c85348c09a2f640,525032,08/15/2025 19:28,,929,11598,466518,DIAG,,,,1,1,7,3,,2
7c85348c09a2f640,525032,08/15/2025 19:27,,929,11598,466518,OFF,0.8 mi ENE Lufkin TX,31.33,-94.72,1,2,1,1,08/19/2025 03:00,
7c85348c09a2f640,525032,08/15/2025 19:24,,929,11598,466518,DIAG,,,,1,1,7,4,,1
7c85348c09a2f640,525032,08/15/2025 19:22,,929,11598,466518,DIAG,,,,1,1,7,3,,1
7c85348c09a2f640,525032,08/15/2025 19:16,,929,11598,466517,DIAG,,,,1,1,7,4,,1
7c85348c09a2f640,525032,08/15/2025 19:14,,929,11598,466516,D,1.74 mi E Lufkin TX,31.32,-94.70,1,1,1,3,08/19/2025 03:00,
7c85348c09a2f640,525032,08/15/2025 19:14,,929,11598,466516,IGN_ON,1.74 mi E Lufkin TX,31.32,-94.70,1,1,6,1,,
7c85348c09a2f640,525032,08/15/2025 19:14,,929,11598,466516,DIAG,,,,1,1,7,3,,1
7c85348c09a2f640,525032,08/15/2025 19:13,,929,11597,466516,OFF,1.74 mi E Lufkin TX,31.32,-94.70,1,2,1,1,08/19/2025 03:00,
7c85348c09a2f640,525032,08/15/2025 19:11,,929,11597,466516,ON,1.74 mi E Lufkin TX,31.32,-94.70,1,2,1,4,08/19/2025 03:00,
7c85348c09a2f640,525032,08/15/2025 18:39,,929,,,OFF,1.74 mi E Lufkin TX,31.32,-94.70,1,2,1,1,08/19/2025 03:00,
7c85348c09a2f640,525032,08/15/2025 10:49,,929,11597,466516,SB,1.61 mi E Lufkin TX,31.32,-94.70,1,2,1,2,08/19/2025 03:00,
